오로스테크놀로지,24600,하락100,-0.40%,52782
글로벌텍스프리,4040,하락90,-2.18%,375321
비츠로테크,8740,하락170,-1.91%,231733
퀄리타스반도체,20800,상승250,+1.22%,214474
한국알콜,10540,상승90,+0.86%,1068651
컨텍,15170,하락700,-4.41%,117398
AP위성,15020,상승110,+0.74%,90386
쇼박스,3595,상승5,+0.14%,56146
제이엘케이,13870,상승500,+3.74%,275396
메디포스트,6540,하락130,-1.95%,33148
원익피앤이,4710,하락5,-0.11%,82576
미스터블루,2685,하락175,-6.12%,4067484
원준,14580,하락270,-1.82%,33375
리파인,12800,상승70,+0.55%,42847
에스와이,4530,하락90,-1.95%,363389
풍원정밀,10520,상승540,+5.41%,312219
그래디언트,15200,하락180,-1.17%,41756
HLB바이오스텝,2530,하락40,-1.56%,261363
올릭스,13220,하락70,-0.53%,20762
민테크,9970,하락20,-0.20%,2171243
케이알엠,7460,하락10,-0.13%,43115
나무가,13410,상승30,+0.22%,28988
흥구석유,14540,상승740,+5.36%,6448654
대아티아이,3080,하락10,-0.32%,557978
HLB이노베이션,2995,하락50,-1.64%,169617
푸른소나무,8790,보합0,0.00%,0
노브랜드,27150,상승4850,+21.75%,3045147
노브랜드,27150,상승4850,+21.75%,3045147
아바텍,13760,하락230,-1.64%,3099
씨에스베어링,7800,하락130,-1.64%,38120
디와이피엔에프,19840,하락260,-1.29%,21454
한일사료,5370,하락110,-2.01%,732376
마크로젠,19500,하락360,-1.81%,35104
폴라리스AI,2935,하락30,-1.01%,960161
이지홀딩스,3225,하락25,-0.77%,104599
사람인,17780,하락20,-0.11%,4249
가비아,15380,하락240,-1.54%,16767
상신이디피,15480,하락190,-1.21%,41596
파세코,10310,하락200,-1.90%,182041
그린리소스,24900,상승200,+0.81%,155858
KG모빌리언스,5290,상승40,+0.76%,53880
제일일렉트릭,9230,하락30,-0.32%,402048
미래컴퍼니,23250,하락600,-2.52%,44094
엠에스오토텍,4485,상승115,+2.63%,368908
디케이티,10690,상승80,+0.75%,70586
경동제약,6650,상승30,+0.45%,122682
좋은사람들,2110,보합0,0.00%,0
엑시콘,18830,상승20,+0.11%,103096
삐아,21000,상승100,+0.48%,1604919
진성티이씨,9040,하락80,-0.88%,49865
크레버스,17920,상승10,+0.06%,11370
한국파마,18610,하락90,-0.48%,18086
이녹스,21500,하락150,-0.69%,48636
딥노이드,8990,상승40,+0.45%,160712
오상헬스케어,13900,상승480,+3.58%,309613
드림어스컴퍼니,2660,하락20,-0.75%,34376
KX,4430,상승5,+0.11%,20629
나스미디어,17340,하락300,-1.70%,7251
시너지이노베이션,2425,하락45,-1.82%,133287
알서포트,3765,하락90,-2.33%,219619
디지털대성,7220,보합0,0.00%,7680
큐브엔터,14470,하락160,-1.09%,41996
워트,12360,상승410,+3.43%,670423
타이거일렉,31550,하락300,-0.94%,23015
유비쿼스홀딩스,10960,하락160,-1.44%,792
노바텍,18800,하락80,-0.42%,4539
이랜시스,6550,상승30,+0.46%,170906
한국정보인증,4675,하락50,-1.06%,29465
동구바이오제약,6940,하락160,-2.25%,305262
아가방컴퍼니,6000,상승150,+2.56%,3439879
이랜텍,7780,하락70,-0.89%,27581
더네이쳐홀딩스,13290,상승20,+0.15%,29111
한국캐피탈,617,보합0,0.00%,45862
대화제약,10400,보합0,0.00%,73746
아티스트유나이티드,14400,상승100,+0.70%,74243
켐트로스,7230,상승40,+0.56%,158961
슈프리마,26600,하락450,-1.66%,30134
인트론바이오,5570,하락50,-0.89%,165696
대보마그네틱,24200,보합0,0.00%,25398
씨티씨바이오,7860,하락20,-0.25%,32858
레이,12300,상승100,+0.82%,277619
녹원씨엔아이,11540,보합0,0.00%,0
나이벡,18410,상승170,+0.93%,116788
범한퓨얼셀,21500,상승400,+1.90%,90047
윈스,13780,상승80,+0.58%,14027
멀티캠퍼스,31700,하락1150,-3.50%,22816
현대사료,994,보합0,0.00%,0
에코플라스틱,4550,하락10,-0.22%,274125
노바렉스,9980,하락10,-0.10%,71600
라메디텍,21600,하락2950,-12.02%,2453781
팜스토리,1674,하락18,-1.06%,1638153
일진파워,12360,상승10,+0.08%,94994
싸이토젠,8290,하락430,-4.93%,44711
SM C&C,1920,하락23,-1.18%,135422
와이지-원,5500,상승10,+0.18%,18634
지투파워,9860,상승200,+2.07%,211890
코리아에프티,6610,하락30,-0.45%,1421810
보성파워텍,3740,상승30,+0.81%,566076
슈피겐코리아,29550,하락350,-1.17%,4376
영풍정밀,11660,하락40,-0.34%,14540
보광산업,5050,보합0,0.00%,18624
에치에프알,13580,하락170,-1.24%,16899
강스템바이오텍,3265,상승90,+2.83%,438670
이화전기,899,보합0,0.00%,0
웨스트라이즈,4970,상승810,+19.47%,4842755
크리스에프앤씨,7720,상승10,+0.13%,4397
헬릭스미스,3905,하락95,-2.37%,46048
아모그린텍,10910,하락250,-2.24%,117066
매커스,11100,상승120,+1.09%,61337
CG인바이츠,2330,상승10,+0.43%,46273
